Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 13:45:15.700,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, -0.002, 0.029, 0.994, 0.427, 0, 0.305, , , , , , , 1.725, 0.264, -104.046,
 13:45:15.701,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, -0.001, 0.028, 0.994, 0.366, -0.122, 0.244, , , , , , , 1.725, 0.264, -104.046,
 13:45:15.701,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, -0.002, 0.029, 0.995, 0.244, -0.061, 0.244, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.701,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, -0.002, 0.029, 0.995, 0.183, -0.122, 0.183, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.701,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, 0, 0.029, 0.996, 0.061, -0.122, 0.122, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.701,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, 0.001, 0.028, 0.997, 0, -0.061, 0.122, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.701,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, 0.005, 0.025, 1.003, 0.183, 0, 0.061, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.701,eb:33:2e:f9:57:b5, 2015-01-01 00:09:26.195, 0, 0.022, 1.006, 0.488, 0.305, 0.183, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0.002, 0.022, 1.006, 0.854, 0.427, 0.244, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.024, 1.004, 1.099, 0.671, 0.366, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.023, 1.003, 1.404, 0.671, 0.427, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0.002, 0.023, 1.007, 1.709, 0.977, 0.366, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.006, 0.024, 1.003, 1.892, 1.099, 0.61, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.009, 0.027, 0.995, 2.014, 0.916, 0.61, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.006, 0.027, 0.992, 1.953, 0.671, 0.549, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.857,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.027, 0.994, 1.892, 0.427, 0.488, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.859,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.03, 0.997, 1.831, 0.488, 0.427, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.860,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.029, 0.995, 1.77, 0.366, 0.488, , , , , , , 1.725, 0.258, -104.046,
 13:45:15.860,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.03, 0.993, 1.648, 0.305, 0.488, , , , , , , 1.719, 0.258, -104.046,
 13:45:15.860,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.032, 0.993, 1.526, 0.244, 0.427, , , , , , , 1.719, 0.258, -104.046,
 13:45:15.860,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.031, 0.994, 1.343, 0.244, 0.366, , , , , , , 1.719, 0.258, -104.046,
 13:45:15.860,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.032, 0.994, 1.221, 0.244, 0.366, , , , , , , 1.719, 0.258, -104.046,
 13:45:15.860,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.031, 0.994, 1.038, 0.244, 0.183, , , , , , , 1.719, 0.253, -104.046,
 13:45:15.860,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.033, 0.994, 0.854, 0.244, 0.122, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.032, 0.995, 0.793, 0.244, 0.183, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.032, 0.997, 0.671, 0.366, 0.122, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.032, 0.996, 0.61, 0.427, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.032, 0.996, 0.549, 0.427, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.031, 0.995, 0.427, 0.488, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.005, 0.031, 0.994, 0.366, 0.366, 0.122, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.03, 0.993, 0.305, 0.183, 0.122, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.040,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.031, 0.995, 0.122, 0.061, 0.122, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.031, 0.995, 0.061, 0, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.03, 0.996, 0, 0, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.029, 0.997, 0.061, 0, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.028, 1, 0.122, 0.061, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.028, 0.999, 0.183, 0.122, 0.122, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.03, 0.997, 0.183, 0.122, 0.061, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.029, 0.998, 0.244, 0.061, 0.122, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.127,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.027, 0.998, 0.305, 0.061, 0.183, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.129,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.028, 1, 0.366, 0.183, 0.244, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.129,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.029, 0.998, 0.427, 0.061, 0.366, , , , , , , 1.719, 0.253, -104.046,
 13:45:16.129,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.031, 0.997, 0.305, 0.122, 0.305, , , , , , , 1.719, 0.247, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.031, 0.994, 0.305, 0, 0.305, , , , , , , 1.719, 0.247, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.031, 0.995, 0.244, -0.061, 0.244, , , , , , , 1.719, 0.247, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.032, 0.996, 0.244, -0.122, 0.244, , , , , , , 1.719, 0.247, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.031, 0.997, 0.122, -0.061, 0.305, , , , , , , 1.719, 0.247, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.032, 0.996, 0.061, -0.061, 0.244, , , , , , , 1.719, 0.247, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.032, 0.994, 0, -0.183, 0.183, , , , , , , 1.719, 0.247, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.032, 0.996, 0.183, -0.183, 0.305, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.032, 0.996, 0.061, -0.183, 0.244, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.130,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.033, 0.996, 0, -0.183, 0.183, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.131,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.032, 0.995, 0, -0.183, 0.183, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.131,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.032, 0.996, -0.061, -0.061, 0.183, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.131,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.032, 0.998, -0.122, 0, 0.183, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.131,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.03, 1, -0.061, 0.061, 0.122, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.03, 0.998, -0.061, 0.183, 0.122, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.031, 0.997, -0.061, 0.305, 0.122, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.03, 0.996, -0.061, 0.183, 0.061, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.03, 0.998, -0.061, 0.244, 0.061, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.028, 0.998, 0, 0.183, 0.122, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.006, 0.029, 0.996, 0, 0.061, 0.183, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.03, 0.994, 0, 0, 0.183, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.133,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.03, 0.995, 0, 0, 0.122, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.03, 0.996, -0.061, -0.122, 0.122, , , , , , , 1.714, 0.242, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.032, 0.995, 0.244, 0.061, 0.183, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.033, 0.997, 0.244, 0.122, 0.183, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, 0, 0.032, 0.999, 0.244, 0.244, 0.183, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.031, 0.999, 0.305, 0.366, 0.183, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.03, 1, 0.366, 0.427, 0.183, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.029, 1.001, 0.488, 0.488, 0.183, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.152,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.027, 1.001, 0.671, 0.488, 0.366, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.173,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.029, 1, 0.793, 0.549, 0.366, , , , , , , 1.714, 0.236, -104.046,
 13:45:16.173,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.034, 0.994, 0.305, 0.305, 0.244, , , , , , , 1.714, 0.236, -104.052,
 13:45:16.173,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.034, 0.995, 0.305, 0.244, 0.183, , , , , , , 1.714, 0.236, -104.052,
 13:45:16.173,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.033, 0.996, 0.183, 0.305, 0.122, , , , , , , 1.714, 0.236, -104.052,
 13:45:16.173,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.033, 0.998, 0.122, 0.305, 0.122, , , , , , , 1.714, 0.236, -104.052,
 13:45:16.173,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.032, 0.997, 0.122, 0.305, 0.122, , , , , , , 1.714, 0.236, -104.052,
 13:45:16.173,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.031, 0.998, 0.122, 0.305, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.174,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.032, 0.998, 0.244, 0.366, 0.183, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.001, 0.03, 1, 0.366, 0.366, 0.183, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.028, 1.001, 0.488, 0.549, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.029, 1.001, 0.61, 0.61, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.03, 1, 0.793, 0.671, 0.305, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.006, 0.031, 0.998, 0.793, 0.61, 0.366, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.005, 0.032, 0.996, 0.854, 0.549, 0.427, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.005, 0.033, 0.996, 0.732, 0.488, 0.305, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.033, 0.996, 0.671, 0.366, 0.366, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.034, 0.995, 0.61, 0.305, 0.305, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.241,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.034, 0.996, 0.549, 0.366, 0.305, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.242,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.034, 0.996, 0.488, 0.305, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.242,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.005, 0.035, 0.994, 0.366, 0.183, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.242,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.035, 0.994, 0.244, 0.183, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.242,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.035, 0.994, 0, 0.183, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.242,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.034, 0.995, 0, 0.061, 0.061, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.242,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.033, 0.996, 0, 0.122, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.308,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.033, 0.996, -0.061, 0.122, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.309,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.002, 0.033, 0.997, -0.122, 0.183, 0.061, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.309,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.033, 0.998, -0.061, 0.183, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.309,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.032, 0.999, 0, 0.183, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.309,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.004, 0.032, 0.999, 0, 0.305, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.309,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.005, 0.031, 0.998, 0.061, 0.244, 0.183, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.309,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.005, 0.031, 0.996, 0.061, 0.183, 0.183, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.309,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.135, -0.003, 0.032, 0.998, 0.122, 0.183, 0.122, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.352,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.032, 0.999, 0.122, 0.122, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.352,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.032, 0.999, 0.183, 0.183, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.352,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.032, 0.999, 0.244, 0.244, 0.183, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.352,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.032, 0.999, 0.305, 0.305, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.352,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.033, 0.998, 0.366, 0.305, 0.183, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.352,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.033, 0.997, 0.305, 0.366, 0.244, , , , , , , 1.714, 0.231, -104.052,
 13:45:16.352,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.033, 0.998, 0.244, 0.366, 0.244, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.353,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.033, 0.998, 0.183, 0.488, 0.244, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.034, 0.996, 0.183, 0.488, 0.183, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.035, 0.995, 0.183, 0.427, 0.183, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.035, 0.995, 0.122, 0.305, 0.122, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.033, 0.995, 0, 0.305, 0.061, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.033, 0.995, 0, 0.183, 0.122, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.033, 0.996, 0, 0.122, 0.061, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.033, 0.997, 0, 0, 0.122, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.400,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.032, 0.999, 0.061, 0, 0.183, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.421,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.032, 0.999, 0.122, 0.061, 0.244, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.421,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.032, 1, 0.244, 0.061, 0.305, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.421,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.032, 1, 0.366, 0.061, 0.305, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.421,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.032, 1, 0.488, 0.183, 0.305, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.421,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.03, 1, 0.549, 0.305, 0.244, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.421,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.031, 1, 0.732, 0.427, 0.305, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.421,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.008, 0.033, 0.999, 0.732, 0.366, 0.427, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.422,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.034, 0.996, 0.671, 0.366, 0.305, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.033, 0.997, 0.732, 0.305, 0.366, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.034, 0.997, 0.671, 0.305, 0.366, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.035, 0.996, 0.671, 0.244, 0.366, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.034, 0.996, 0.61, 0.183, 0.366, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.034, 0.998, 0.549, 0.244, 0.305, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.033, 0.998, 0.549, 0.305, 0.366, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.034, 0.998, 0.488, 0.366, 0.183, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.442,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.036, 0.997, 0.488, 0.366, 0.183, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.002, 0.036, 0.998, 0.427, 0.488, 0.122, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.003, 0.034, 0.998, 0.488, 0.549, 0.122, , , , , , , 1.714, 0.231, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.034, 0.999, 0.488, 0.671, 0.122, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.034, 0.999, 0.488, 0.732, 0.183, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.034, 0.996, 0.488, 0.732, 0.244, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.034, 0.997, 0.488, 0.671, 0.366, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.004, 0.033, 0.999, 0.61, 0.732, 0.305, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.487,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.033, 0.999, 0.671, 0.732, 0.305, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.579,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.007, 0.034, 0.998, 0.732, 0.793, 0.305, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.579,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.007, 0.035, 0.997, 0.732, 0.793, 0.305, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.579,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.007, 0.035, 0.996, 0.671, 0.671, 0.427, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.579,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.006, 0.034, 0.997, 0.671, 0.671, 0.244, , , , , , , 1.719, 0.225, -104.046,
 13:45:16.579,eb:33:2e:f9:57:b5, 2015-01-01 00:09:27.915, -0.005, 0.033, 0.996, 0.61, 0.549, 0.305, , , , , , , 1.719, 0.225, -104.046,
