ime,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(�/s),Angular velocity Y(�/s),Angular velocity Z(�/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(�),Angle Y(�),Angle Z(�)
01:22:13.160,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.981445,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.181,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.98291,,0.061035,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.229,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.982422,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.259,eb:33:2e:f9:57:b5,,0.119629,-0.079102,0.98291,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.309,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.982422,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.343,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981445,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.372,eb:33:2e:f9:57:b5,,0.119141,-0.080566,0.982422,,0.061035,-0.183105,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.514,eb:33:2e:f9:57:b5,,0.118164,-0.080566,0.981934,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.545,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.982422,,0.061035,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.564,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.982422,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.577,eb:33:2e:f9:57:b5,,0.119629,-0.080566,0.981934,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.596,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.98291,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.629,eb:33:2e:f9:57:b5,,0.118164,-0.07959,0.982422,,,-0.244141,,,,,,,-3.96606,-7.7948,-125.233
01:22:13.674,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.305176,,,,,,,-3.96606,-7.7948,-125.233
01:22:14.105,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.98291,-0.061035,,-0.183105,,,,,,,-3.96606,-7.7948,-125.233
01:22:14.118,eb:33:2e:f9:57:b5,,0.118652,-0.079102,0.982422,,,-0.183105,,,,,,,-3.96606,-7.7948,-125.233
