ime,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
10:36:29.980,eb:33:2e:f9:57:b5,,-0.422363,0.15918,-0.901855,-0.12207,,0.12207,,,,,,,170.574,24.0326,-177.286
10:36:30.057,eb:33:2e:f9:57:b5,,-0.422852,0.15918,-0.901367,-0.12207,0.12207,0.061035,,,,,,,170.579,24.0216,-177.407
10:36:30.095,eb:33:2e:f9:57:b5,,-0.421387,0.159668,-0.901367,-0.061035,,0.12207,,,,,,,170.59,24.0051,-177.517
10:36:30.124,eb:33:2e:f9:57:b5,,-0.420898,0.15918,-0.901367,-0.244141,-0.061035,0.061035,,,,,,,170.59,23.9996,-177.61
10:36:30.188,eb:33:2e:f9:57:b5,,-0.422363,0.15918,-0.901367,-0.305176,,0.061035,,,,,,,170.596,23.9886,-177.693
10:36:30.233,eb:33:2e:f9:57:b5,,-0.420898,0.160645,-0.901855,-0.244141,-0.061035,0.12207,,,,,,,170.601,23.9777,-177.764
10:36:30.250,eb:33:2e:f9:57:b5,,-0.421875,0.160156,-0.901855,-0.244141,-0.12207,,,,,,,,170.601,23.9722,-177.83
10:36:30.325,eb:33:2e:f9:57:b5,,-0.42334,0.160156,-0.899902,-0.305176,-0.12207,0.12207,,,,,,,170.601,23.9667,-177.891
10:36:30.351,eb:33:2e:f9:57:b5,,-0.424316,0.161133,-0.901367,-0.976562,0.549316,0.244141,,,,,,,170.607,23.9667,-177.918
10:36:30.380,eb:33:2e:f9:57:b5,,-0.42334,0.161621,-0.899414,-0.915527,1.28174,0.305176,,,,,,,170.607,23.9612,-177.935
10:36:30.408,eb:33:2e:f9:57:b5,,-0.417969,0.162109,-0.901855,-0.671387,0.549316,0.183105,,,,,,,170.601,23.9612,-177.979
10:36:30.472,eb:33:2e:f9:57:b5,,-0.420898,0.165527,-0.902832,-0.427246,,-0.061035,,,,,,,170.596,23.9447,-178.066
10:36:30.517,eb:33:2e:f9:57:b5,,-0.419922,0.164551,-0.902344,0.12207,,-0.061035,,,,,,,170.585,23.9392,-178.143
10:36:30.524,eb:33:2e:f9:57:b5,,-0.421875,0.163086,-0.898926,0.732422,-0.610352,-0.12207,,,,,,,170.574,23.9282,-178.22
10:36:30.577,eb:33:2e:f9:57:b5,,-0.422363,0.162598,-0.900879,1.40381,-1.09863,-0.061035,,,,,,,170.563,23.9172,-178.286
10:36:30.616,eb:33:2e:f9:57:b5,,-0.422363,0.159668,-0.902344,1.28174,-0.732422,-0.061035,,,,,,,170.557,23.9172,-178.319
10:36:30.667,eb:33:2e:f9:57:b5,,-0.425293,0.158691,-0.899902,0.793457,0.488281,,,,,,,,170.557,23.9172,-178.319
10:36:30.705,eb:33:2e:f9:57:b5,,-0.421387,0.15918,-0.903809,0.915527,-0.549316,-0.12207,,,,,,,170.563,23.9172,-178.33
10:36:30.768,eb:33:2e:f9:57:b5,,-0.422852,0.162109,-0.901367,1.46484,0.671387,0.305176,,,,,,,170.563,23.9172,-178.325
10:36:30.783,eb:33:2e:f9:57:b5,,-0.421387,0.155762,-0.90332,2.50244,-0.610352,-0.305176,,,,,,,170.563,23.9172,-178.325
10:36:30.814,eb:33:2e:f9:57:b5,,-0.425781,0.155273,-0.901367,2.19727,0.549316,-0.244141,,,,,,,170.563,23.9172,-178.33
10:36:30.860,eb:33:2e:f9:57:b5,,-0.421387,0.154785,-0.903809,2.31934,1.2207,-0.12207,,,,,,,170.563,23.9172,-178.33
10:36:30.902,eb:33:2e:f9:57:b5,,-0.421875,0.150879,-0.899902,1.64795,1.0376,,,,,,,,170.568,23.9172,-178.33
10:36:30.987,eb:33:2e:f9:57:b5,,-0.421387,0.149414,-0.902344,0.610352,0.183105,0.12207,,,,,,,170.568,23.9172,-178.33
10:36:30.993,eb:33:2e:f9:57:b5,,-0.423828,0.150879,-0.901367,-0.061035,1.0376,0.305176,,,,,,,170.574,23.9172,-178.325
10:36:30.996,eb:33:2e:f9:57:b5,,-0.418945,0.151367,-0.90332,-0.427246,0.732422,0.427246,,,,,,,170.579,23.9172,-178.325
10:36:31.050,eb:33:2e:f9:57:b5,,-0.419922,0.152832,-0.903809,-0.610352,0.427246,0.488281,,,,,,,170.585,23.9172,-178.319
10:36:31.101,eb:33:2e:f9:57:b5,,-0.417969,0.155273,-0.90625,-0.549316,0.12207,0.427246,,,,,,,170.596,23.9172,-178.325
10:36:31.175,eb:33:2e:f9:57:b5,,-0.418945,0.154785,-0.904785,-0.305176,0.427246,0.305176,,,,,,,170.607,23.9117,-178.325
10:36:31.239,eb:33:2e:f9:57:b5,,-0.418945,0.155762,-0.903809,-0.12207,,0.244141,,,,,,,170.612,23.9117,-178.33
10:36:31.275,eb:33:2e:f9:57:b5,,-0.417969,0.154297,-0.904297,-0.183105,-0.12207,0.305176,,,,,,,170.623,23.9117,-178.341
10:36:31.279,eb:33:2e:f9:57:b5,,-0.41748,0.153809,-0.905273,-0.488281,-0.976562,0.244141,,,,,,,170.634,23.9062,-178.352
10:36:31.323,eb:33:2e:f9:57:b5,,-0.423828,0.154785,-0.900879,-0.671387,,0.244141,,,,,,,170.64,23.9008,-178.363
10:36:31.354,eb:33:2e:f9:57:b5,,-0.421875,0.15625,-0.901855,-0.610352,0.427246,0.366211,,,,,,,170.651,23.9008,-178.374
10:36:31.380,eb:33:2e:f9:57:b5,,-0.425781,0.155762,-0.894531,-0.305176,1.95312,1.0376,,,,,,,170.656,23.8953,-178.385
10:36:31.426,eb:33:2e:f9:57:b5,,-0.414551,0.158203,-0.907227,-0.12207,1.70898,1.34277,,,,,,,170.667,23.8953,-178.391
10:36:31.468,eb:33:2e:f9:57:b5,,-0.416016,0.156738,-0.904785,-0.12207,0.854492,0.976562,,,,,,,170.673,23.8953,-178.401
10:36:31.539,eb:33:2e:f9:57:b5,,-0.416016,0.15918,-0.90625,-0.183105,-0.183105,0.854492,,,,,,,170.684,23.8898,-178.418
10:36:31.563,eb:33:2e:f9:57:b5,,-0.418945,0.159668,-0.905273,0.061035,0.183105,0.610352,,,,,,,170.689,23.8843,-178.44
10:36:31.602,eb:33:2e:f9:57:b5,,-0.415039,0.157715,-0.90625,0.12207,,0.610352,,,,,,,170.695,23.8788,-178.467
10:36:31.606,eb:33:2e:f9:57:b5,,-0.416992,0.15918,-0.904297,0.305176,,0.549316,,,,,,,170.695,23.8733,-178.495
10:36:31.689,eb:33:2e:f9:57:b5,,-0.419434,0.158203,-0.900391,,0.244141,0.915527,,,,,,,170.7,23.8678,-178.522
10:36:31.725,eb:33:2e:f9:57:b5,,-0.418457,0.158203,-0.902832,0.183105,1.2207,1.0376,,,,,,,170.706,23.8623,-178.55
10:36:31.814,eb:33:2e:f9:57:b5,,-0.412598,0.15918,-0.904785,0.549316,0.366211,0.915527,,,,,,,170.711,23.8568,-178.577
10:36:31.845,eb:33:2e:f9:57:b5,,-0.414062,0.158203,-0.906738,0.976562,-0.793457,0.305176,,,,,,,170.711,23.8513,-178.61
10:36:31.849,eb:33:2e:f9:57:b5,,-0.415039,0.156738,-0.90625,0.854492,-1.2207,-0.061035,,,,,,,170.717,23.8458,-178.643
10:36:31.880,eb:33:2e:f9:57:b5,,-0.413574,0.155762,-0.904297,0.549316,-1.89209,-0.244141,,,,,,,170.717,23.8403,-178.676
10:36:31.910,eb:33:2e:f9:57:b5,,-0.419434,0.15625,-0.90332,0.366211,-2.62451,-0.610352,,,,,,,170.722,23.8293,-178.715
10:36:31.942,eb:33:2e:f9:57:b5,,-0.424805,0.155762,-0.899902,0.12207,-0.915527,-0.305176,,,,,,,170.722,23.8239,-178.742
10:36:31.972,eb:33:2e:f9:57:b5,,-0.418457,0.157227,-0.90625,-0.12207,0.244141,-0.061035,,,,,,,170.728,23.8184,-178.77
10:36:32.020,eb:33:2e:f9:57:b5,,-0.416016,0.155273,-0.90625,-0.12207,-1.15967,-0.183105,,,,,,,170.728,23.8184,-178.792
10:36:32.170,eb:33:2e:f9:57:b5,,-0.425781,0.15625,-0.899414,-0.061035,-1.2207,-0.305176,,,,,,,170.733,23.8129,-178.813
10:36:32.204,eb:33:2e:f9:57:b5,,-0.421387,0.15625,-0.901855,-0.061035,-0.244141,-0.183105,,,,,,,170.733,23.8074,-178.83
10:36:32.209,eb:33:2e:f9:57:b5,,-0.421875,0.155762,-0.901855,,-0.488281,,,,,,,,170.739,23.8074,-178.846
10:36:32.213,eb:33:2e:f9:57:b5,,-0.424316,0.156738,-0.900879,,-0.12207,0.12207,,,,,,,170.739,23.8019,-178.857
10:36:32.231,eb:33:2e:f9:57:b5,,-0.423828,0.156738,-0.901367,,,0.244141,,,,,,,170.739,23.8019,-178.863
10:36:32.264,eb:33:2e:f9:57:b5,,-0.422363,0.156738,-0.902344,0.061035,0.061035,0.183105,,,,,,,170.744,23.8019,-178.868
10:36:32.298,eb:33:2e:f9:57:b5,,-0.423828,0.156738,-0.901367,0.061035,,0.12207,,,,,,,170.744,23.7964,-178.874
10:36:32.332,eb:33:2e:f9:57:b5,,-0.422363,0.156738,-0.901367,0.183105,-0.061035,0.061035,,,,,,,170.75,23.7964,-178.879
10:36:32.409,eb:33:2e:f9:57:b5,,-0.422852,0.155762,-0.901855,0.12207,-0.061035,0.061035,,,,,,,170.75,23.7964,-178.879
10:36:32.442,eb:33:2e:f9:57:b5,,-0.42334,0.156738,-0.901367,0.061035,-0.061035,0.12207,,,,,,,170.75,23.7964,-178.879
10:36:32.500,eb:33:2e:f9:57:b5,,-0.42334,0.15625,-0.900879,0.061035,0.305176,0.183105,,,,,,,170.755,23.7964,-178.879
10:36:32.530,eb:33:2e:f9:57:b5,,-0.421875,0.156738,-0.902832,0.12207,0.061035,0.12207,,,,,,,170.755,23.7964,-178.874
